"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 6","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 7","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2012-2013","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 6","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 7","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2013-2014","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 6","Percent","Suspensions","45.1"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 7","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2014-2015","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 6","Percent","Suspensions","37.0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 7","Percent","Suspensions","30.0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 8","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2015-2016","Grade 12","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Kindergarten","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 1","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 2","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 3","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 4","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 5","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 6","Percent","Suspensions","45.3"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 7","Percent","Suspensions","44.6"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 8","Percent","Suspensions","25.5"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 9","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 10","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 11","Percent","Suspensions","0"
"Great Oaks Charter School Bridgeport","","2016-2017","Grade 12","Percent","Suspensions","0"
"Greenwich School District","900133620","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2009-2010","Grade 2","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2009-2010","Grade 3","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2009-2010","Grade 4","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2009-2010","Grade 5","Percent","Suspensions","1.0"
"Greenwich School District","900133620","2009-2010","Grade 6","Percent","Suspensions","1.6"
"Greenwich School District","900133620","2009-2010","Grade 7","Percent","Suspensions","1.9"
"Greenwich School District","900133620","2009-2010","Grade 8","Percent","Suspensions","3.0"
"Greenwich School District","900133620","2009-2010","Grade 9","Percent","Suspensions","4.6"
"Greenwich School District","900133620","2009-2010","Grade 10","Percent","Suspensions","5.3"
"Greenwich School District","900133620","2009-2010","Grade 11","Percent","Suspensions","6.4"
"Greenwich School District","900133620","2009-2010","Grade 12","Percent","Suspensions","8.9"
"Greenwich School District","900133620","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2010-2011","Grade 4","Percent","Suspensions","1.2"
"Greenwich School District","900133620","2010-2011","Grade 5","Percent","Suspensions","1.1"
"Greenwich School District","900133620","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2010-2011","Grade 7","Percent","Suspensions","2.5"
"Greenwich School District","900133620","2010-2011","Grade 8","Percent","Suspensions","2.8"
"Greenwich School District","900133620","2010-2011","Grade 9","Percent","Suspensions","8.1"
"Greenwich School District","900133620","2010-2011","Grade 10","Percent","Suspensions","6.4"
"Greenwich School District","900133620","2010-2011","Grade 11","Percent","Suspensions","6.9"
"Greenwich School District","900133620","2010-2011","Grade 12","Percent","Suspensions","8.7"
"Greenwich School District","900133620","2011-2012","Kindergarten","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2011-2012","Grade 2","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2011-2012","Grade 3","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2011-2012","Grade 6","Percent","Suspensions","1.5"
"Greenwich School District","900133620","2011-2012","Grade 7","Percent","Suspensions","1.3"
"Greenwich School District","900133620","2011-2012","Grade 8","Percent","Suspensions","4.0"
"Greenwich School District","900133620","2011-2012","Grade 9","Percent","Suspensions","6.3"
"Greenwich School District","900133620","2011-2012","Grade 10","Percent","Suspensions","6.0"
"Greenwich School District","900133620","2011-2012","Grade 11","Percent","Suspensions","5.4"
"Greenwich School District","900133620","2011-2012","Grade 12","Percent","Suspensions","5.2"
"Greenwich School District","900133620","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2012-2013","Grade 4","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2012-2013","Grade 7","Percent","Suspensions","3.7"
"Greenwich School District","900133620","2012-2013","Grade 8","Percent","Suspensions","3.3"
"Greenwich School District","900133620","2012-2013","Grade 9","Percent","Suspensions","4.5"
"Greenwich School District","900133620","2012-2013","Grade 10","Percent","Suspensions","3.8"
"Greenwich School District","900133620","2012-2013","Grade 11","Percent","Suspensions","3.3"
"Greenwich School District","900133620","2012-2013","Grade 12","Percent","Suspensions","4.8"
"Greenwich School District","900133620","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2013-2014","Grade 5","Percent","Suspensions","1.3"
"Greenwich School District","900133620","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2013-2014","Grade 7","Percent","Suspensions","1.7"
"Greenwich School District","900133620","2013-2014","Grade 8","Percent","Suspensions","3.1"
"Greenwich School District","900133620","2013-2014","Grade 9","Percent","Suspensions","1.7"
"Greenwich School District","900133620","2013-2014","Grade 10","Percent","Suspensions","2.8"
"Greenwich School District","900133620","2013-2014","Grade 11","Percent","Suspensions","2.9"
"Greenwich School District","900133620","2013-2014","Grade 12","Percent","Suspensions","1.9"
"Greenwich School District","900133620","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2014-2015","Grade 2","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2014-2015","Grade 4","Percent","Suspensions","-9999"
"Greenwich School District","900133620","2014-2015","Grade 5","Percent","Suspensions","-6666"
"Greenwich School District","900133620","2014-2015","Grade 6","Percent","Suspensions","-9999"
